Species
Sericornis magnirostris
Calyptorhynchus funereus
Calyptorhynchus lathami
Rhipidura rufiventris
Ficedula narcissina
Cettia diphone
Troglodytes troglodytes
Hypsipetes parvirostris
Cinnyris comorensis
Nectarinia humbloti
Nectarinia notata
Mystacornis crossleyi
Newtonia amphichroa
Formicarius analis
Formicivora grisea
Drymophila squamata
Formicivora serrana
Foudia eminentissima
Cinnyris dussumieri
Foudia sechellarum
Francolinus squamatus
Fregata andrewsi
Fregata minor
Fregata aquila
Fulica atra
Furnarius leucopus
Thraupis episcopus
Furnarius rufus
Galbula albirostris
Gallus gallus
Myiarchus swainsoni
Myiobius barbatus
Babax lanceolatus
Garrulax pectoralis
Galbula ruficauda
Garrulax sannio
Camaroptera brevicaudata
Zenaida galapagoensis
Leptotila rufaxilla
Zenaida macroura
Leptotila plumbeiceps
Geospiza fuliginosa
Geotrygon linearis
Zoothera sibirica
Helmitheros vermivorum
Euneornis campestris
Dendroica palmarum
Zonotrichia albicollis
Passerina amoena
Dendroica adelaidae
Spizella pusilla
Agelaius phoeniceus
Gerygone palpebrosa
Athene brama
Glaucidium cuculoides
Orthotomus sutorius
Tephrodornis pondicerianus
Gyps tenuirostris
Glaucidium sjostedti
Glyphorynchus spirurus
Turdus amaurochalinus
Gorsachius goisagi
Grallaria quitensis
Grallaria ruficapilla
Emberiza bruniceps
Emberiza melanocephala
Grus americana
Grus leucogeranus
Grus japonensis
Grus monacha
Acrocephalus sechellensis
Sylvia cantillans
Acrocephalus gracilirostris
Philomachus pugnax
Acrocephalus schoenobaenus
Acrocephalus paludicola
Acrocephalus mendanae
Cercomela fusca
Foudia flavicans
Hemignathus flavus
Hemignathus virens
Himatione sanguinea
Hippolais pallida
Humblotia flavirostris
Lonchura malacca
Loxigilla violacea
Megalurus palustris
Mimus gilvus
Neochmia temporalis
Orthotomus cucullatus
Paradoxornis webbianus
Stachyris pyrrhops
Vestiaria coccinea
Zosterops borbonicus
Zosterops chloronothos
Zosterops maderaspatanus
Zosterops mouroniensis
Lonchura malabarica
Tylas eduardi
Zosterops mayottensis
Notiomystis cincta
Acrocephalus orientalis
Nectarinia famosa
Zosterops capensis
Xanthomixis cinereiceps
Nesillas typica
Monticola sharpei
Philepitta castanea
Pseudobias wardi
Acrocephalus melanopogon
Panurus biarmicus
Ardea herodias
Crateroscelis robusta
Linurgus olivaceus
Rimator malacoptilus
Strix varia
Petroica australis
Mohoua albicilla
Apteryx australis
Petroica longipes
Malacoptila striata
Zosterops ficedulinus
Zosterops leucophaeus
Coscoroba coscoroba
Donacobius atricapilla
Sporophila americana
Andropadus gracilis
Chalcomitra rubescens
Cossypha niveicapilla
Malimbus nitens
Muscicapa olivascens
Neocossyphus rufus
Nicator chloris
Pyrenestes ostrinus
Stiphrornis erythrothorax
Andropadus chlorigula
Andropadus masukuensis
Modulatrix stictigula
Uraeginthus angolensis
Psalidoprocne albiceps
Phedina borbonica
Motacilla flaviventris
Luscinia luscinia
Chrysolophus amherstiae
Lophophorus impejanus
Delichon dasypus
Pycnonotus capensis
Cyanistes teneriffae
Phoenicurus ochruros
Spheniscus demersus
Malurus cyaneus
Malurus melanocephalus
Malurus lamberti
Pachycephala pectoralis
Phylloscopus sindianus
Gymnopithys leucaspis
Gyps bengalensis
Habia rubica
Halcyon malimbica
Syma torotoro
Haliaeetus vocifer
Heliangelus amethysticollis
Metallura tyrianthina
Anas sp.
Heliodoxa schreibersii
Hemispingus atropileus
Hemitriccus griseipectus
Herpsilochmus sellowi
Tetrastes bonasia
Hippolais caligata
Phoenicurus moussieri
Ficedula elisae
Phylloscopus inornatus
Phylloscopus armandii
Hypsipetes borbonicus
Hylocichla mustelina
Hylophylax naevius
Hylophilus ochraceiceps
Hylophylax punctulatus
Hyloctistes subulatus
Syndactyla ruficollis
Hypsipetes amaurotis
Hypocnemis cantator
Ixos philippinus
Phylloscopus borealoides
Sitta frontalis
Hypocnemis ochrogyna
Schistocichla leucostigma
Hylocryptus rectirostris
Daptrius americanus
Icterus leucopteryx
Iduna opaca
Illadopsis cleaveri
Ilicura militaris
Indicator maculatus
Pogoniulus subsulphureus
Iole olivacea
Iole propinqua
Myrmotherula guttata
Myrmotherula hauxwelli
Ixobrychus flavicollis
Knipolegus poecilocercus
Callaeas cinerea
Lacedo pulchella
Tricholestes criniger
Lanius cristatus
Lamprotornis iris
Carduelis psaltria
Thryomanes bewickii
Sialia mexicana
Gymnorhinus cyanocephalus
Tyrannus vociferans
Lalage leucomela
Myzomela nigrita
Lamprotornis hildebrandti
Lamprospiza melanoleuca
Lamprotornis purpureiceps
Sturnus roseus
Lagopus muta
Coturnix japonica
Lanius bucephalus
Larus crassirostris
Falco tinnunculus
Larus canus
Larosterna inca
Leucophaeus scoresbii
Lathrotriccus euleri
Estrilda caerulescens
Estrilda troglodytes
Anthus similis
Lepidocolaptes angustirostris
Corythopis torquatus
Myiobius atricaudus
Cryptopipo holochlora
Chiroxiphia pareola
Epinecrophylla erythrura
Machaeropterus pyrocephalus
Lepidothrix nattereri
Polioptila paraensis
Lepidothrix vilasboasi
Lichenostomus frenatus
Melithreptus albogularis
Lichenostomus chrysops
Lichenostomus versicolor
Conopophila albogularis
Myiagra alecto
Myzomela erythrocephala
Myzomela obscura
Rhipidura leucophrys
Carduelis cannabina
Apteryx haastii
Fulica cristata
Cisticola fulvicapilla
Serinus atrogularis
Morus capensis
Passer rufocinctus
Riparia paludicola
Melaenornis silens
Lipaugus vociferans
Falco naumanni
Anthus berthelotii
Galerida cristata
Carduelis tristis
Loxigilla portoricensis
Acrocephalus rufescens
