;Common_name;Scientific_name;Former_genus;Biome;Food;Foraging_site;Nest_type;Nest_site;Nest_parasitation;Notes;superficy;upperalt;loweralt;movement
35;Eurasian Skylark;Alauda arvensis;NA;Marine Intertidal - Salt Marshes (Emergent Grasses) & Artificial/Terrestrial - Arable Land & Grassland - Temperate;Omnivorous;Ground;Open;Ground;No;;42900000;3500;NA;Migratory
36;Common Kingfisher;Alcedo atthis;NA;Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Omnivorous;Ground;Cavity;Shrub;No;;79900000;NA;NA;Migratory
37;Shining-blue Kingfisher;Alcedo quadribrachys;NA;Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes & Marine Coastal/Supratidal - Coastal Freshwater Lakes;Omnivorous;Ground;Cavity;Shrub;NA;;8120000;1800;NA;Resident
38;Grey-cheeked Fulvetta;Alcippe morrisonia;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Shrub;Open;Shrub;No;;4630000;NA;NA;Resident
39;Red-legged Partridge;Alectoris rufa;NA;Artificial/Terrestrial - Arable Land & Shrubland - Temperate;Omnivorous;Ground;Open;Ground;Yes;Common Quail (use the nest);1710000;2000;NA;Resident
40;White-tailed Alethe;Alethe diademata;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground and Shrub;Open;Ground and Shrub;No;;782000;1500;NA;Resident
41;Grey-cheeked bulbul;Alophoixus tephrogenys;Criniger bres;Forest - Temperate;Omnivorous;Shrub and tree;Open;Shrub;NA;;NA;NA;NA;NA
42;Red Avadavat;Amandava amandava;NA;Artificial/Terrestrial - Arable Land;Omnivorous;Ground and Shrub;Closed;Shrub;No;;16300000;NA;NA;Resident
43;Zebra Waxbill;Amandava subflava;NA;Artificial/Terrestrial - Arable Land;Omnivorous;Ground and Shrub;Closed;Shrub;Yes;Jambandu Indogobird and Pin tailed Whydah;20800000;2000;250;Resident
44;Yellow-browed Sparrow;Ammodramus aurifrons;NA;Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground;Open;Ground;NA;;7610000;1500;NA;Resident
45;Black-throated Sparrow;Amphispiza bilineata;NA;Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground and Shrub;Open;Shrub;Yes;Brown-head cowbird;2500000;2200;NA;Migratory
46;Principe Sunbird;Anabathmis hartlaubii;NA;Artificial/Terrestrial - Plantations;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;NA;;200;NA;NA;Resident
47;Newton's Sunbird;Anabathmis newtonii;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Tree;Open;Shrub and tree;Yes;African Emerald Cuckoo;970;NA;NA;Resident
48;Juan Fernandez Tit-tyrant;Anairetes fernandezianus;NA;Forest - Subtropical/Tropical Dry;Insectivorous;Shrub and tree;NA;NA;NA;Not documented;140;900;NA;Resident
49;Northern Pintail;Anas acuta;NA;Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Omnivorous;Ground;Open;Ground;No;Crushed and used by Ring-necked pheasant;69100000;NA;NA;Migratory
50;Common Teal;Anas crecca;NA;Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Omnivorous;Ground;Open;Ground;No;;81700000;NA;NA;Migratory
51;Western Mountain Greenbul;Andropadus importunus;Andropadus tephrolaemus;Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground, shrub and tree;Open;Shrub;No;;NA;NA;NA;NA
52;Fire-bellied Mountain-tanager;Anisognathus igniventris;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Tree;Open;NA;NA;;181000;3500;2600;Resident
53;Blue-winged Mountain-tanager;Anisognathus somptuosus;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Shrub and tree;Open;Shrub and tree;No;;2330000;2300;900;Resident
54;Greylag Goose;Anser anser;NA;Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt);Herbivorous;Ground;Open;Ground and tree;No;;31200000;NA;NA;Migratory
55;Bean Goose;Anser fabalis;NA;Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt);Herbivorous;Ground;Open;Ground;No;;20500000;NA;NA;Migratory
56;Bar-headed Goose;Anser indicus;NA;Rocky areas (eg. inland cliffs, mountain peaks);Herbivorous;Ground;Open;Ground and tree;No;;5290000;5000;NA;Migratory
57;Orange-breasted Sunbird;Anthobaphes violacea;NA;Shrubland - Mediterranean-type Shrubby Vegetation;Omnivorous;Ground and Shrub;Open;Shrub;Yes;Klaas' Cuckoo;177000;NA;NA;Resident
58;New Zealand Bellbird;Anthornis melanura;NA;Forest - Temperate;Omnivorous;Ground, shrub and tree;Open;Ground, shrub and tree;NA;Possibly parasitized by Long-tailed Koel;787000;NA;NA;Resident
59;Little Green Sunbird;Anthreptes seimundi;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Open;Tree;No;;6540000;NA;NA;Resident
60;Blue Crane;Anthropoides paradiseus;NA;Grassland - Subtropical/Tropical High Altitude;Omnivorous;Ground and Shrub;Open;Ground;No;;2030000;2000;0;Resident
61;Tawny Pipit;Anthus campestris;NA;Marine Coastal/Supratidal - Coastal Sand Dunes;Omnivorous;Ground;Open;Ground;No;;22100000;3600;NA;Migratory
62;Olive-backed Pipit;Anthus hodgsoni;NA;Forest - Boreal;Omnivorous;Ground;Open;Ground;No;;18800000;4000;NA;Migratory
63;Buff-bellied Pipit;Anthus rubescens;NA;Grassland - Tundra;Omnivorous;Ground;Open;Ground;Yes;Common Cuckoo;50500000;2700;NA;Migratory
64;White-naped crane;Antigone vipio;Grus vipio;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Omnivorous;Ground;Open;Ground;No;;NA;NA;NA;NA
65;Helmeted Manakin;Antilophia galeata;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Open;Shrub and tree;No;;2670000;1000;500;Resident
66;Bar-throated Apalis;Apalis thoracica;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Closed;Shrub;Yes;Klaas' Cuckoo;3650000;NA;NA;Resident
67;Bar-tailed Trogon;Apaloderma vittatum;NA;Forest - Subtropical/Tropical Moist Montane;Insectivorous;Tree;Cavity;Shrub and tree;No;;6410000;3000;900;Resident
68;Western Scrub-jay;Aphelocoma californica;NA;Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground and Shrub;Open;Shrub and tree;No;;4590000;3000;NA;Resident
69;Woodhouse's scrub jay;Aphelocoma californica woodhouseii;Aphelocoma woodhouseii;Shrubland - Subtropical/Tropical Dry;Omnivorous;Ground and Shrub;Open;Shrub and tree;No;;NA;NA;NA;NA
70;Thorn-tailed Rayadito;Aphrastura spinicauda;NA;Forest - Temperate;Insectivorous;Ground and Tree;Cavity;Tree;No;;1510000;2000;NA;Resident
71;King Penguin;Aptenodytes patagonicus;NA;Marine Oceanic - Epipelagic (0-200m) & Marine Oceanic - Mesopelagic (200-1000m) & Grassland - Subantarctic;Piscivore;Ground;Open;Ground;No;;9220000;100;NA;Migratory
72;Streaked Spiderhunter;Arachnothera magna;NA;Forest - Subtropical/Tropical Dry;Omnivorous;Shrub and tree;Closed;Shrub;Yes;Different species of Cuckoo;4560000;NA;NA;Resident
73;Grey-necked wood rail;Aramides cajaneus;NA;Forest - Subtropical/Tropical Swamp;Omnivorous;Ground;Open;Ground;No;;NA;NA;NA;NA
74;Jandaya Parakeet;Aratinga jandaya;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;NA;Cavity;Tree;No;;1910000;1200;NA;Resident
75;Great White Egret;Ardea alba;NA;Grassland - Subtropical/Tropical Seasonally Wet/Flooded & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Omnivorous;Ground;Open;Ground, shrub and tree;No;;340000000;1500;NA;Migratory
76;Stripe-cheeked greenbul;Arizelocichla milanjensis;Andropadus milanjensis;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Moist Montane;Omnivorous;NA;Open;Shrub and tree;No;;NA;NA;NA;NA
77;Western Mountain Greenbul;Arizelocichla tephrolaema;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Shrub and tree;Open;Shrub;No;;91700;2850;1000;Resident
78;Chestnut-capped brush finch;Arremon brunneinucha;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Ground and Shrub;Open;Shrub and tree;No;;NA;NA;NA;NA
79;Pectoral Sparrow;Arremon taciturnus;NA;Forest - Subtropical/Tropical Moist Lowland;NA;Ground and Shrub;Closed;Shrub and tree;No;;9910000;1100;NA;Resident
80;Sooty grassquit ;Asemospiza fuliginosa;Tiaris fuliginosus;Forest - Subtropical/Tropical Moist Lowland;Granivore;Shrub;Closed;Ground, shrub and tree;No;;NA;NA;NA;NA
81;Short-eared Owl;Asio flammeus;NA;Grassland - Temperate;Carnivore;Ground;Open;Ground;No;;246000000;4300;NA;Migratory
82;Northern Long-eared Owl;Asio otus;NA;Forest - Temperate & Forest - Boreal;Carnivore;Ground;Open;Tree;No;But use nest of magpie, buzzard etcï;80000000;2750;NA;Resident
83;Little Owl;Athene noctua;NA;Artificial/Terrestrial - Urban Areas;Omnivorous;Ground;Cavity;Tree;No;sharing with kestrel sometimes;52700000;2600;NA;Resident
84;White-naped Brush-finch;Atlapetes albinucha;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Ground and Shrub;Open;Shrub;NA;;1760000;2700;900;Resident
85;Santa Marta Brush-finch;Atlapetes melanocephalus;NA;Forest - Subtropical/Tropical Moist Montane;NA;Ground and Shrub;Closed;NA;NA;;4000;3000;1300;Resident
86;Pale-naped Brush-finch;Atlapetes pallidinucha;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Ground and Shrub;Open;Shrub;NA;;334000;3600;2800;Resident
87;Cinnamon Attila;Attila cinnamomeus;NA;Forest - Subtropical/Tropical Swamp;Omnivorous;Shrub and tree;Open;Shrub and tree;NA;;6400000;500;NA;Resident
88;Bright-rumped Attila;Attila spadiceus;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Open;Shrub;NA;;18100000;1500;NA;Resident
89;Olive-backed Foliage-gleaner;Automolus infuscatus;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub and tree;Cavity;Shrub;NA;;4830000;800;NA;Resident
90;Buff-throated Foliage-gleaner;Automolus ochrolaemus;NA;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Swamp;Insectivorous;Shrub and tree;Cavity;Shrub;NA;;10700000;1650;NA;Resident
91;Para Foliage-gleaner;Automolus paraensis;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub and tree;Cavity;Shrub;NA;;1940000;NA;NA;Resident
92;Chestnut-crowned Foliage-gleaner;Automolus rufipileatus;NA;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Swamp;Insectivorous;Ground and Shrub;NA;NA;NA;;7040000;1300;NA;Resident
93;Greater Scaup;Aythya marila;NA;Grassland - Tundra & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);Omnivorous;Ground;Open;Ground;NA;;46400000;NA;NA;Migratory
94;Tufted Titmouse;Baeolophus bicolor;NA;Forest - Temperate & Forest - Subtropical/Tropical Swamp;Omnivorous;Ground, shrub and tree;Cavity;Tree;No;;4200000;NA;NA;Resident
95;White-bellied Warbler;Basileuterus hypoleucus;NA;Forest - Subtropical/Tropical Dry;Insectivorous;Shrub;NA;NA;NA;;2110000;1100;NA;Resident
96;Malawi Batis;Batis dimorpha;NA;Forest - Temperate & Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub and tree;Open;Shrub;NA;;149000;2450;NA;Migratory
97;Forest Batis;Batis mixta;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub and tree;NA;NA;NA;;163000;2300;NA;Resident
98;Chinspot Batis;Batis molitor;NA;Savanna - Dry;Insectivorous;Tree;Open;Tree;No;;8710000;NA;NA;Resident
99;Long-billed Tetraka;Bernieria madagascariensis;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Open;Shrub;NA;;624000;NA;NA;Resident
100;Green-tailed Bristlebill;Bleda eximius;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground;NA;NA;NA;Few info on breeding.;422000;1400;0;Resident
101;Yellow-lored Bristlebill;Bleda notatus;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground and Shrub;Open;Shrub;No;;780000;NA;NA;Resident
102;Red-tailed Bristlebill;Bleda syndactylus;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground;Open;Shrub;NA;;6940000;2150;NA;Resident
103;Cedar Waxwing;Bombycilla cedrorum;NA;Forest - Temperate;Omnivorous;Shrub and tree;Open;Shrub and tree;No;;11800000;2200;NA;Migratory
104;Bohemian Waxwing;Bombycilla garrulus;NA;Forest - Boreal;Omnivorous;Shrub and tree;Open;Shrub and tree;No;;27500000;NA;NA;Migratory
105;Ruffed Grouse;Bonasa umbellus; ;Forest - Temperate & Forest - Boreal;Herbivorous;NA;Open;Ground;Yes;Meleagris gallopavo and Phasianus colchicus;15100000;NA;NA;Resident
106;Little Rush-warbler;Bradypterus baboecala;NA;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Insectivorous;Ground and Shrub;Open;Shrub;Yes;Diederik Cuckoo;9950000;NA;NA;Resident
107;Cinnamon Bracken-warbler;Bradypterus cinnamomeus;NA;Forest - Subtropical/Tropical Moist Montane;Insectivorous;Ground;Open;Shrub;No;;2980000;3300;1300;Resident
108;Eurasian Eagle-owl;Bubo bubo;NA;Forest - Temperate & Forest - Boreal;Carnivore;Ground and Tree;Open;Ground and tree;No;;51400000;4500;NA;Resident
109;Snowy Owl;Bubo scandiacus;NA;Grassland - Tundra;Carnivore;Ground;Open;Ground;No;;38100000;300;NA;Migratory
110;Great Horned Owl;Bubo virginianus;NA;Forest - Temperate & Forest - Boreal;Carnivore;Ground and Tree;Open;Ground and tree;No;;65900000;4000;0;Resident
111;Cattle Egret;Bubulcus ibis;NA;Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) & Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls);Omnivorous;Ground;Open;Ground, shrub and tree;No;;349000000;4080;NA;Migratory
112;Common Goldeneye;Bucephala clangula;NA;Forest - Boreal;Omnivorous;Ground;Cavity;Ground and tree;No;;46900000;2000;NA;Migratory
113;Wattled crane;Bugeranus carunculatus;Grus carunculatus;Grassland - Subtropical/Tropical Seasonally Wet/Flooded & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) & Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) & Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha);Omnivorous;Ground;Open;Ground;No;;NA;NA;NA;NA
114;Eurasian Buzzard;Buteo buteo;NA;Forest - Temperate;Carnivore;Ground;Open;Tree;No;;33900000;2500;0;Migratory
115;Red-tailed Hawk;Buteo jamaicensis;NA;Forest - Temperate;Carnivore;Ground;Open;Tree;No;;18100000;3200;NA;Migratory
116;Rough-legged Buzzard;Buteo lagopus;NA;Forest - Boreal & Rocky areas (eg. inland cliffs, mountain peaks);Carnivore;Ground;Open;Ground;No;;41600000;1200;NA;Migratory
117;Red-shouldered Hawk;Buteo lineatus;NA;Forest - Temperate;Omnivorous;Ground;Open;Tree;No;;9590000;2500;NA;Migratory
118;Ferruginous Hawk;Buteo regalis;NA;Grassland - Temperate;Carnivore;Ground;Open;Ground, shrub and tree;No;;3320000;2000;NA;Migratory
119;Long-legged Buzzard;Buteo rufinus;NA;Forest - Temperate;Omnivorous;Ground;Open;Ground and tree;No;;31500000;3900;0;Migratory
120;Green-backed Heron;Butorides striata;NA;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Omnivorous;Water;Open;Shrub and tree;No;;286000000;1900;NA;Migratory
121;Yellow-rumped Cacique;Cacicus cela;NA;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Swamp;Omnivorous;Tree;Closed;Shrub and tree;Yes;Molothrus oryzivorus;11200000;NA;NA;Resident
122;Stierling's Wren-warbler;Calamonastes stierlingi;NA;Savanna - Dry;Insectivorous;Ground, shrub and tree;Closed;Shrub and tree;NA;;2220000;1700;NA;Resident
123;Red-tailed Vanga;Calicalicus madagascariensis;NA;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Open;Tree;No;;619000;NA;NA;Resident
124;White-rumped Sandpiper;Calidris fuscicollis;NA;Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt);Omnivorous;Ground;Open;Ground;No;;2520000;NA;NA;Migratory
125;Pectoral Sandpiper;Calidris melanotos;NA;Grassland - Tundra & Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt);Insectivorous;Ground;Open;Ground;No;;14500000;4500;3500;Migratory
126;Bleating Camaroptera;Camaroptera brachyura;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Ground and Shrub;Closed;Shrub;Yes;African Emerald Cuckoo, Klaas' Cuckoo, Diederik Cuckoo and Borwn backed Honeyguide;25400000;2200;NA;Resident
127;Olive-green Camaroptera;Camaroptera chloronota;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Ground and Shrub;Closed;Shrub;NA;;3370000;NA;NA;Resident
128;Red-necked Woodpecker;Campephilus rubricollis;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Tree;Cavity;Tree;NA;;7810000;2400;NA;Resident
129;Golden-tailed Woodpecker;Campethera abingoni;NA;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Tree;Cavity;Tree;Yes;Greater, lesser and Scaly throated Honeyguides;16300000;2000;NA;Resident
130;Buff-spotted Woodpecker;Campethera nivosa;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Tree;Cavity;Tree;Yes;By Spotted Honeyguide (Indicator maculatus);8660000;1800;NA;Resident
131;Southern Beardless Tyrannulet;Camptostoma obsoletum;NA;Forest - Subtropical/Tropical Dry & Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Closed;Shrub and tree;No;;17900000;2800;NA;Migratory
132;Buff-breasted wren;Cantorchilus leucotis;Thryothorus leucotis;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub;Closed;Shrub and tree;Yes;American Striped Cuckoo;NA;NA;NA;NA
133;Wilson's Warbler;Cardellina pusilla;NA;Forest - Temperate & Forest - Boreal;Omnivorous;Shrub and tree;Open;Ground and Shrub;Yes;Brown-head cowbird;4260000;3500;NA;Migratory
134;Northern Cardinal;Cardinalis cardinalis;NA;Shrubland - Subtropical/Tropical Dry;Herbivorous;Ground, shrub and tree;Open;Shrub and tree;Yes;Brown-head cowbird and Bronzed Cowbird;10400000;2500;NA;Resident
135;European Goldfinch;Carduelis carduelis;NA;Forest - Temperate & Grassland - Temperate;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;No;;25100000;NA;NA;Migratory
136;Common Rosefinch;Carpodacus erythrinus;NA;Forest - Temperate;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;No;;10200000;2700;2000;Migratory
137;Beautiful Rosefinch;Carpodacus pulcherrimus;NA;Shrubland - Subtropical/Tropical High Altitude;Granivore;Ground and Shrub;Open;Shrub;NA;;5690000;4650;3600;Resident
138;Ash-throated Casiornis;Casiornis fuscus;NA;Savanna - Dry;NA;NA;NA;NA;NA;;2700000;500;NA;Resident
139;Rufous Casiornis;Casiornis rufus;NA;Forest - Subtropical/Tropical Dry & Savanna - Dry;NA;NA;Cavity;Tree;NA;;3690000;1500;NA;Migratory
140;Orange-billed Nightingale-thrush;Catharus aurantiirostris;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Ground;Open;Shrub and tree;No;;6090000;2900;400;Resident
141;Hermit Thrush;Catharus guttatus;NA;Forest - Temperate & Forest - Boreal;Omnivorous;Ground, shrub and tree;Open;Ground, shrub and tree;No;;15900000;NA;NA;Migratory
142;Grey-cheeked Thrush;Catharus minimus;NA;Shrubland - Boreal;Omnivorous;Ground;Open;Shrub and tree;No;;7740000;3000;NA;Migratory
143;Russet-backed Thrush;Catharus ustulatus;NA;Forest - Temperate & Forest - Boreal;Omnivorous;Ground, shrub and tree;Open;Shrub;Yes;Brown headed cowbird;1480000;3000;0;Migratory
144;Greater Coucal;Centropus sinensis;NA;Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level;Omnivorous;Ground, shrub and tree;Closed;Shrub and tree;No;;19600000;1200;NA;Resident
145;White-browed Coucal;Centropus superciliosus;NA;Savanna - Dry;Omnivorous;Ground and Shrub;Closed;Shrub;No;;16000000;2800;NA;Resident
146;Madagascar Coucal;Centropus toulou;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground, shrub and tree;Closed;Shrub;No;;854000;1800;NA;Resident
147;Black-casqued Hornbill;Ceratogymna atrata;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Ground and Tree;Closed;Tree;No;;5280000;1500;NA;Resident
148;Grey Antbird;Cercomacra cinerascens;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Tree;NA;NA;NA;;7420000;900;NA;Resident
149;Black Antbird;Cercomacroides serva;Cercomacra serva;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Swamp;Insectivorous;Shrub and tree;Open;Shrub;NA;;NA;NA;NA;NA
150;Blackish Antbird ;Cercomacroides nigrescens;Cercomacra nigrescens;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Shrub and tree;NA;NA;NA;;NA;NA;NA;NA
151;White-browed Scrub-robin;Cercotrichas leucophrys;NA;Savanna - Dry;Insectivorous;Ground;Open;Shrub;Yes;Red chested, Black, Diederik and Klaas' Cuckoo;13100000;1400;NA;Resident
152;Black Scrub-robin;Cercotrichas podobe;NA;Savanna - Dry;NA;Ground and Shrub;Open;Shrub;NA;;10800000;1500;NA;Resident
153;Cape Barren Goose;Cereopsis novaehollandiae;NA;Shrubland - Temperate & Grassland - Temperate;Herbivorous;Ground;Open;Ground and Shrub;No;;2090000;NA;NA;Migratory
154;Short-toed Treecreeper;Certhia brachydactyla;NA;Forest - Temperate;Omnivorous;Tree;Cavity;Shrub and tree;No;;8570000;NA;NA;Resident
155;Cetti's Warbler;Cettia cetti;NA;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Insectivorous;Shrub;Open;Shrub;No;;18000000;1450;NA;Migratory
156;Band-rumped Swift;Chaetura spinicaudus;NA;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Water, tree;Cavity;Tree;NA;;6770000;1000;NA;Resident
157;Amethyst Sunbird;Chalcomitra amethystina;NA;Savanna - Dry;Insectivorous;Shrub;Closed;Shrub and tree;Yes;Klaas', African Emeral Cuckoo and Green-backed Honeyguide;10100000;NA;NA;Resident
158;Carmelite Sunbird;Chalcomitra fuliginosa;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub;Closed;Shrub and tree;NA;;3020000;NA;NA;Resident
159;Scarlet-chested Sunbird ;Chalcomitra senegalensis;Nectarinia senegalensis;Savanna - Dry & Shrubland - Subtropical/Tropical Dry;Omnivorous;Shrub;Closed;Shrub and tree;Yes;Klaas', African Emeral Cuckoo and Great Honeyguide;NA;NA;NA;Resident
160;Grey-capped Emerald Dove;Chalcophaps indica;NA;Forest - Subtropical/Tropical Dry;Omnivorous;Ground and Tree;Open;Shrub and tree;No;;21300000;1450;NA;Resident
161;Wrentit;Chamaea fasciata;NA;Shrubland - Subtropical/Tropical Dry;Omnivorous;Shrub and tree;Open;Shrub;Yes;Brown-headed cowbird;504000;2600;NA;Resident
162;White-chested Alethe;Chamaetylas fuelleborni;Alethe fuelleborni;Forest - Subtropical/Tropical Moist Montane;Insectivorous;Ground and Shrub;Open;Shrub and tree;No;;NA;NA;NA;NA
163;Brown-chested Alethe;Chamaetylas poliocephala;Alethe poliocephala;Forest - Subtropical/Tropical Moist Lowland;Insectivorous;Ground and Shrub;Open;Shrub and tree;No;;NA;NA;NA;NA
164;Short-tailed Antthrush;Chamaeza campanisona;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Ground;Cavity;Shrub and tree;No;;12700000;1800;50;Resident
165;European Greenfinch;Chloris chloris;Carduelis chloris;Forest - Temperate & Forest - Boreal;Omnivorous;Ground, shrub and tree;Open;Shrub and tree;No;;NA;NA;NA;NA
166;American Pygmy-kingfisher;Chloroceryle aenea;NA;Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls);Piscivore;Water;Cavity;Ground;NA;;14200000;2600;NA;Resident
167;Green-and-rufous Kingfisher;Chloroceryle inda;Chlorospingus flavopectus;Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls);Piscivore;Water;Cavity;Ground;NA;;13000000;400;NA;Resident
168;Common Bush-tanager;Chlorospingus flavopectus;Chlorospingus ophthalmicus;Forest - Subtropical/Tropical Moist Montane;Frugivorous;Tree;Open;Ground, shrub and tree;No;;NA;NA;NA;NA
169;Lark Sparrow;Chondestes grammacus;NA;Grassland - Temperate;Omnivorous;Ground and Shrub;Open;Ground and Shrub;Yes;Brown-headed cowbird;5060000;2400;1100;Migratory
170;Klaas's Cuckoo;Chrysococcyx klaas;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;Insectivorous;Tree;Open;Ground, shrub and tree;Yes;Parasitize other species;14600000;3000;NA;Migratory
171;Yellow-hooded Blackbird;Chrysomus icterocephalus;NA;Grassland - Subtropical/Tropical Seasonally Wet/Flooded & Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands;Omnivorous;Ground and Shrub;Open;Shrub;Yes;Molothrus bonariensis;5300000;2600;NA;Resident
172;Brown Trembler;Cinclocerthia ruficauda;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Cavity;Tree;No;;71800;900;NA;Resident
173;White-throated Dipper;Cinclus cinclus;NA;Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls);Omnivorous;Water;Closed;Ground and Shrub;No;;35900000;NA;NA;Resident
174;Greater double-collared sunbird;Cinnyris afer;Nectarina afra;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;Omnivorous;Shrub and tree;Closed;Shrub and tree;Yes;Klaas' Cuckoo;NA;NA;NA;NA
175;Southern Double-collared Sunbird;Cinnyris chalybeus;NA;Shrubland - Subtropical/Tropical Dry;Omnivorous;Shrub and tree;Closed;Shrub;Yes;Klaas' Cuckoo;1310000;NA;NA;Resident
176;Olive-bellied Sunbird;Cinnyris chloropygius;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;Shrub and tree;Closed;Shrub and tree;Yes;Klaas' Cuckoo and Western Green backed Honeyguide;9030000;NA;NA;Resident
177;Mayotte Sunbird;Cinnyris coquerellii;NA;Forest - Subtropical/Tropical Moist Lowland;Omnivorous;NA;Closed;Shrub and tree;No;;600;NA;NA;Resident
178;Eastern Double-collared Sunbird;Cinnyris mediocris;NA;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Shrub and tree;Closed;Shrub;No;;227000;NA;NA;Resident
179;Moreau's Sunbird;Cinnyris moreaui;Nectarinia;Forest - Subtropical/Tropical Moist Montane;Omnivorous;Shrub and tree;Closed;Shrub and tree;NA;;NA;NA;NA;NA
