;Common_name;Scientific_name;Former_genus;Biome;Food;Foraging_site;Nest_type;Nest_site;Nest_parasitation;Notes;superficy;upperalt;loweralt;movement
438;Green Oropendola;Psarocolius viridis;NA;Forest - Subtropical/Tropical Swamp;;;;;;;6170000;1100;NA;Resident
439;Common Bulbul;Pycnonotus barbatus;NA;Forest - Subtropical/Tropical Moist Lowland & Forest - Subtropical/Tropical Swamp & Savanna - Dry;;;;;;;34600000;3000;NA;Resident
440;Red-vented Bulbul;Pycnonotus cafer;NA;Forest - Subtropical/Tropical Dry;;;;;;;7030000;NA;NA;Resident
441;Black-fronted Bulbul;Pycnonotus nigricans;NA;Savanna - Dry & Shrubland - Subtropical/Tropical Dry;;;;;;;2680000;NA;NA;Resident
442;White-spectacled Bulbul;Pycnonotus xanthopygos;NA;Forest - Subtropical/Tropical Dry & Shrubland - Subtropical/Tropical Dry;;;;;;;4540000;3200;NA;Resident
443;Orange-winged Pytilia;Pytilia afra;NA;Forest - Subtropical/Tropical Moist Lowland & Savanna - Dry;;;;;;;8140000;NA;NA;Resident
444;Green-winged Pytilia;Pytilia melba;NA;Savanna - Dry & Shrubland - Subtropical/Tropical Dry;;;;;;;24200000;NA;NA;Resident
445;Red-billed Quelea;Quelea quelea;NA;Artificial/Terrestrial - Arable Land & Artificial/Terrestrial - Pastureland;;;;;;;25800000;NA;NA;Resident
446;Ruby-crowned Kinglet;Regulus calendula;NA;Forest - Temperate;;;;;;;11600000;1300;NA;Migratory
447;Eastern Olivaceous Flatbill;Rhynchocyclus olivaceus;NA;Forest - Subtropical/Tropical Moist Lowland;;;;;;;6050000;1000;NA;Resident
448;African Comb Duck;Sarkidiornis melanotos;NA;Grassland - Subtropical/Tropical Seasonally Wet/Flooded & Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);;;;;;;53300000;1200;NA;Migratory
449;Red-chested Flufftail;Sarothrura rufa;NA;Grassland - Subtropical/Tropical Seasonally Wet/Flooded & Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);;;;;;;18100000;2700;NA;Resident
450;Whinchat;Saxicola rubetra;NA;Forest - Temperate & Artificial/Terrestrial - Arable Land & Shrubland - Boreal;;;;;;;17000000;3000;NA;Migratory
451;Indian Robin;Saxicoloides fulicatus;NA;Rocky areas (eg. inland cliffs, mountain peaks) & Shrubland - Subtropical/Tropical Dry;Insectivorous;Ground;Cavity;Shrub and tree;NA;;4850000;1600;NA;Resident
452;Red-winged francolin;Scleroptila levaillantii;Francolinus levaillantii;Grassland - Subtropical/Tropical High Altitude;;;;;;;NA;NA;NA;NA
453;Hamerkop;Scopus umbretta;NA;Grassland - Subtropical/Tropical Seasonally Wet/Flooded & Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) & Wetlands (inland) - Permanent Freshwater Lakes (over 8ha);;;;;;;31100000;2400;NA;Resident
454;Green-backed Firecrown ;Sephanoides sephanoides;NA;Forest - Temperate  & Forest - Subtropical/Tropical Moist Montane & Shrubland - Temperate;;;;;;;NA;NA;NA;NA
