Species
Plocepasser rufoscapulatus
Pseudoleistes virescens
Ploceus benghalensis
Psittacula krameri
Psophia leucoptera
Ptiloris magnificus
Ptiloris victoriae
Ptiloprora perstriata
Ptiloprora guisei
Ptilinopus rivoli
Ptilinopus superbus
Ptilinopus magnificus
Pycnonotus brunneus
Psittacula eupatria
Pycnonotus leucogenys
Pycnonotus cyaniventris
Pycnonotus goiavier
Pycnonotus jocosus
Pycnonotus melanicterus
Stachyris nigriceps
Alcippe brunneicauda
Pyrrhula erythaca
Carduelis magellanica
Dysithamnus plumbeus
Pyriglena leucoptera
Pyrrhura lepida
Quelea erythrops
Ardea melanocephala
Quiscalus mexicanus
Motacilla capensis
Lanius nubicus
Lanius minor
Lanius tephronotus
Lanius collaris
Uraeginthus bengalus
Euplectes macroura
Chalcomitra senegalensis
Cisticola guinea 
Sporopipes frontalis
Saxicola tectes
Chloropeta similis
Lagonosticta senegala
Cinnyris bouvieri
Cisticola cantans
Lagonosticta sanguinodorsalis
Rhipidura aureola
Chlorophanes spiza
Cercotrichas galactotes
Ploceus intermedius
Hieraaetus wahlbergi
Streptopelia turtur
Saltator atricollis
Saltator aurantiirostris
Sicalis luteola
Sarcops calvus
Malaconotus sulfureopectus
Corvus orru
Todiramphus sanctus
Schistochlamys ruficapillus
Schiffornis turdina
Seiurus aurocapilla
Cyanocorax yncas
Serinus canaria
Spiza americana
Ammodramus henslowii
Parula americana
Seicercus xanthodryas
Serpophaga cinerea
Sericornis citreogularis
Gerygone mouki
Vermivora ruficapilla
Setophaga graciae
Eremophila alpestris
Emberiza tahapisi
Passer luteus
Tragopan temminckii
Pachyptila belcheri
Botaurus stellaris
Ciconia ciconia
Marmaronetta angustirostris
Perdix perdix
Emberiza calandra
Monticola saxatilis
Saxicola maura
Sylvia undata
Amazilia chionogaster
Colibri coruscans
Conirostrum cinereum
Phleocryptes melanops
Gallinago gallinago
Himantopus himantopus
Cercotrichas coryphoeus
Sturnus cineraceus
Sturnus unicolor
Lamprotornis superbus
Lophorina superba
Diphyllodes magnificus
Tangara mexicana
Tangara cyanicollis
Psarocolius montezuma
Phoeniconaias minor
Dendrocopos syriacus
Spindalis dominicensis
Streptopelia senegalensis
Musophaga violacea
Spheniscus mendiculus
Geospiza fortis
Acridotheres ginginianus
Stachyris strialata
Streptopelia tranquebarica
Streptopelia chinensis
Calidris ruficollis
Strix woodfordii
Streptopelia picturata
Treron sieboldii
Streptoprocne zonaris
Strix seloputo
Sturnella superciliaris
Aythya ferina
Suiriri suiriri
Galerida modesta
Locustella naevia
Rallus aquaticus
Porzana parva
Tringa nebularia
Calonectris leucomelas
Podiceps cristatus
Ixobrychus eurhythmus
Petroica macrocephala
Hemiphaga novaeseelandiae
Meleagris gallopavo
Zoothera dauma
Dinemellia dinemelli
Synallaxis whitneyi
Sylvia crassirostris
